IdSensore,Data,Valore,Stato,idOperatore
14606,04/01/2023 16:40:00,8.7,VA,1
14606,04/01/2023 16:50:00,8.5,VA,1
14606,04/01/2023 17:00:00,8.5,VA,1
14606,04/01/2023 17:10:00,8.5,VA,1
14606,04/01/2023 17:20:00,8.5,VA,1
14606,04/01/2023 17:30:00,8.4,VA,1
14606,04/01/2023 17:40:00,8.3,VA,1
14606,04/01/2023 17:50:00,8.2,VA,1
14606,04/01/2023 18:00:00,8.1,VA,1
14606,04/01/2023 18:10:00,8.0,VA,1
14606,04/01/2023 18:20:00,8.1,VA,1
14606,04/01/2023 18:30:00,8.1,VA,1
14606,04/01/2023 18:40:00,8.1,VA,1
14606,04/01/2023 18:50:00,8.1,VA,1
14606,04/01/2023 19:00:00,8.0,VA,1
14606,04/01/2023 19:10:00,7.7,VA,1
14606,04/01/2023 19:20:00,7.5,VA,1
14606,04/01/2023 19:30:00,7.7,VA,1
14606,04/01/2023 19:40:00,7.8,VA,1
14606,04/01/2023 19:50:00,7.6,VA,1
14606,04/01/2023 20:00:00,7.4,VA,1
14606,04/01/2023 20:10:00,7.3,VA,1
14606,04/01/2023 20:20:00,7.1,VA,1
